행정구별,행정동별,총인구수,내국인,외국인
서초구,서초3동,32381,32025,356
서초구,서초4동,30554,30287,267
서초구,잠원동,26982,26784,198
서초구,반포본동,258,244,14
서초구,반포1동,34387,34022,365
서초구,반포2동,18735,18610,125
서초구,반포3동,23946,23882,64
서초구,반포4동,19299,18554,745
서초구,방배본동,20622,20459,163
서초구,방배1동,16730,16602,128
서초구,방배2동,18229,18112,117
서초구,방배3동,17076,16893,183
서초구,방배4동,23172,22847,325
서초구,양재1동,42482,42129,353
서초구,양재2동,21604,21325,279
서초구,내곡동,17332,17277,55
강남구,강남구,546291,540957,5334
강남구,신사동,15680,15433,247
강남구,논현1동,21836,21123,713
강남구,개포3동,17010,16949,61
강남구,논현2동,20855,20492,363
강남구,삼성1동,12584,12333,251
강남구,삼성2동,30776,30497,279
강남구,대치1동,24014,23969,45
강남구,대치4동,19174,18893,281
강남구,역삼1동,35509,34352,1157
강남구,역삼2동,37126,36776,350
강남구,도곡1동,20813,20681,132
강남구,도곡2동,32694,32605,89
강남구,개포1동,6909,6892,17
강남구,개포4동,23597,23412,185
강남구,일원본동,22876,22849,27
강남구,일원1동,14806,14652,154
강남구,수서동,14217,14158,59
강남구,세곡동,45828,45641,187
강남구,압구정동,25752,25571,181
강남구,청담동,25085,24806,279
강남구,대치2동,38206,38049,157
강남구,개포2동,40944,40824,120
송파구,송파구,661515,655744,5771
송파구,풍납1동,12409,11915,494
송파구,풍납2동,24048,23849,199
송파구,거여1동,12113,12042,71
송파구,거여2동,23696,23609,87
송파구,마천1동,18316,18161,155
송파구,마천2동,17906,17748,158
송파구,방이1동,15275,15173,102
송파구,방이2동,26695,26133,562
송파구,오륜동,17870,17849,21
송파구,오금동,37799,37566,233
송파구,송파1동,23805,23510,295
송파구,송파2동,18733,18603,130
송파구,석촌동,31530,30965,565
송파구,삼전동,29574,29199,375
송파구,가락본동,25617,25326,291
송파구,가락1동,27670,27484,186
송파구,가락2동,31450,31266,184
송파구,문정1동,19705,19564,141
송파구,문정2동,28981,28786,195
송파구,잠실본동,28233,27702,531
송파구,잠실4동,21242,21175,67
송파구,잠실6동,16631,16462,169
송파구,잠실7동,9446,9432,14
송파구,잠실2동,35016,34908,108
송파구,잠실3동,34047,33908,139
송파구,장지동,28786,28618,168
송파구,위례동,44922,44791,131
강동구,강동구,462453,458385,4068
강동구,강일동,32810,32627,183
강동구,명일1동,25415,25319,96
강동구,명일2동,17253,17187,66
강동구,고덕1동,24040,23952,88
강동구,고덕2동,22928,22759,169
강동구,암사2동,14963,14894,69
강동구,암사3동,17380,17334,46
강동구,천호1동,26396,26113,283
강동구,천호3동,26672,26185,487
강동구,성내1동,19658,19513,145
강동구,성내2동,23620,23089,531
강동구,성내3동,22798,22472,326
강동구,둔촌1동,71,62,9
강동구,둔촌2동,24387,24269,118
강동구,암사1동,34189,33893,296
강동구,천호2동,33613,32980,633
강동구,길동,44976,44627,349
강동구,상일1동,39412,39288,124
강동구,상일2동,11872,11822,50
