,행정구,사업장명,업태구분명,지번주소,도로명주소,X,Y
1113,관악구,팡팡 노래바,단란주점,서울특별시 관악구 신림동 1586-1 ,서울특별시 관악구 남부순환로172길 1 (신림동),193356.709032718,442367.140508663
1114,관악구,세시봉7080,단란주점,서울특별시 관악구 봉천동 1602-1번지 ,서울특별시 관악구 관악로16길 26 (봉천동),195859.760078179,441983.104899825
1115,관악구,끼,단란주점,서울특별시 관악구 봉천동 883-16 지하1층 ,"서울특별시 관악구 남부순환로 1786 (봉천동,지하1층)",195376.903182232,442135.65034906
1116,관악구,바니,단란주점,서울특별시 관악구 신림동 1641-76번지 지하1층 ,"서울특별시 관악구 신림로 276, 지하1층 (신림동)",193889.75689119,441911.23693114
1117,관악구,준코뮤직타운 사당2호점,단란주점,서울특별시 관악구 남현동 1060-2번지 ,"서울특별시 관악구 남현1길 47, 지하1층 01호 (남현동)",198172.998854713,441536.498671717
1118,관악구,어게인,단란주점,서울특별시 관악구 신림동 1659-38 ,서울특별시 관악구 조원중앙로1길 6 (신림동),191453.832555078,442063.856394194
1119,관악구,바이킹,단란주점,서울특별시 관악구 봉천동 1612-3 ,서울특별시 관악구 봉천로 522 (봉천동),196014.707276999,441900.637573866
1120,관악구,제이노래짱,단란주점,서울특별시 관악구 봉천동 922-2번지 ,"서울특별시 관악구 남부순환로 1750, 지하1층 (봉천동)",195015.248809988,442185.005180892
1121,관악구,싱싱노래바,단란주점,서울특별시 관악구 신림동 403-23 ,"서울특별시 관악구 신림로 167, 지하1층 (신림동)",194043.020596575,441315.016479399
1122,관악구,뮤즈노래바,단란주점,서울특별시 관악구 봉천동 1632-3번지 ,"서울특별시 관악구 봉천로 596, 지하1층 전체호 (봉천동)",196696.262412316,441558.909383236
1123,관악구,몽고메리,단란주점,서울특별시 관악구 신림동 10-629번지 ,서울특별시 관악구 남부순환로 1674 (신림동),194313.076727251,442463.620525179
1124,관악구,블루문,단란주점,서울특별시 관악구 신림동 1669-13 ,서울특별시 관악구 조원중앙로2길 2 (신림동),191519.843260241,442053.740980143
1125,관악구,여시노래노래,단란주점,서울특별시 관악구 신림동 587-38 지하1층 ,"서울특별시 관악구 난곡로 240 (신림동,지하1층)",192564.579979457,441507.13830608
1126,관악구,엔젤노래짱,단란주점,서울특별시 관악구 봉천동 1657-7 지하1층 ,"서울특별시 관악구 남부순환로246길 5 (봉천동,지하1층)",196804.869133671,441557.352791787
1127,관악구,모아7080라이브,단란주점,서울특별시 관악구 봉천동 913-1번지 ,서울특별시 관악구 남부순환로 1766 (봉천동),195162.481812243,442168.307965574
1128,관악구,꼬망,단란주점,서울특별시 관악구 봉천동 958-1번지 ,서울특별시 관악구 봉천로 334 (봉천동),194387.321443646,442539.417071657
1129,관악구,두리노래마당,단란주점,서울특별시 관악구 신림동 569-27번지 ,서울특별시 관악구 조원중앙로 44 (신림동),191721.301457214,442317.798418028
1130,관악구,추억의 7080,단란주점,서울특별시 관악구 신림동 131-21번지 ,서울특별시 관악구 신림로 90 (신림동),194567.749823229,440976.482644471
1131,관악구,비젼,단란주점,서울특별시 관악구 신림동 1431-41번지 ,"서울특별시 관악구 신림동길 3, 지상2층 (신림동)",193594.710355734,442792.293354418
1132,관악구,"원,투,쓰리",단란주점,서울특별시 관악구 신림동 538-2 ,"서울특별시 관악구 남부순환로 1471, 지하1층 (신림동)",192342.519273529,442214.191245685
1133,관악구,준코뮤직타운 사당1호점,단란주점,서울특별시 관악구 남현동 1061-17번지 ,"서울특별시 관악구 과천대로 941, 지하1층 (남현동)",198278.931088754,441387.642519775
1134,관악구,판도라,단란주점,서울특별시 관악구 신림동 530-31 상진 ,"서울특별시 관악구 난곡로 323, 상진 2층 (신림동)",192332.463248269,442308.045653943
1135,관악구,청춘스케치7090라이브,단란주점,서울특별시 관악구 신림동 538-11 ,"서울특별시 관악구 남부순환로 1461, 지하1층 (신림동)",192225.364496901,442185.794626387
1136,관악구,조이,단란주점,서울특별시 관악구 봉천동 858-7 ,"서울특별시 관악구 남부순환로 1827, 지하1층 (봉천동)",195808.057089754,442130.000840156
1137,관악구,볼트 마이크(VOLT MIC),단란주점,서울특별시 관악구 신림동 1639-20 ,"서울특별시 관악구 남부순환로 1594-4, 지하1층 (신림동)",193555.772031462,442391.715616991
1138,관악구,클래스,단란주점,서울특별시 관악구 신림동 1640-30 ,"서울특별시 관악구 남부순환로176길 11, 3층 (신림동)",193612.249353013,442364.884315111
1139,관악구,플로우서울(FLOW),단란주점,서울특별시 관악구 신림동 1640-28 ,"서울특별시 관악구 남부순환로 1600-8, 5층 (신림동)",193632.390177713,442385.351113233
1140,관악구,베를린,단란주점,서울특별시 관악구 신림동 1433-66 ,"서울특별시 관악구 남부순환로 1597-10, 지하1층 (신림동)",193555.192678066,442490.551773407
